src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,duration,start_time,end_time
127.0.0.1,127.0.0.1,52976,65432,6,2006,208612,229.361263,1752583956.397322,1752584185.758585
127.0.0.1,127.0.0.1,65432,52976,6,2004,214272,229.361194,1752583956.397340,1752584185.758534
